  0,    1917216,    2354069 
  0,    1917216,    2354069 
  1,     101484,     548815 
  1,     101484,     548815 
  2,     132084,     166679 
  2,     132084,     166679 
  3,     331096, 4294735441 
  3,     331096, 4294735441 
  4, 4294927842,     154147 
  4, 4294927842,     154147 
  5,      83584,     284871 
  5,      83584,     284871 
  6, 4294855758,     943261 
  6, 4294855758,     943261 
  7, 4294085928, 4294227349 
  7, 4294085928, 4294227349 
  8,    2679835,    1906833 
  8,    2679835,    1906833 
  9,     273936, 4294577071 
  9,     273936, 4294577071 
 10,     308196,      88932 
 10,     308196,      88932 
 11,     222380, 4294864563 
 11,     222380, 4294864563 
 12,     292801, 4294492669 
 12,     292801, 4294492669 
 13, 4294610850, 4294793537 
 13, 4294610850, 4294793537 
 14, 4294434436,     568130 
 14, 4294434436,     568130 
 15, 4294711414, 4294181673 
 15, 4294711414, 4294181673 
 16,    2052002,    1993592 
 16,    2052002,    1993592 
 17, 4294956756, 4294630681 
 17, 4294956756, 4294630681 
 18, 4294763823,     245315 
 18, 4294763823,     245315 
 19, 4294120350,     162451 
 19, 4294120350,     162451 
 20,     331442, 4294472450 
 20,     331442, 4294472450 
 21, 4294749126,     654391 
 21, 4294749126,     654391 
 22, 4294678845,     857075 
 22, 4294678845,     857075 
 23,     438088,     164365 
 23,     438088,     164365 
 24,    2143023,    2182410 
 24,    2143023,    2182410 
 25, 4294961685,       8858 
 25, 4294961685,       8858 
 26, 4294786631, 4294522134 
 26, 4294786631, 4294522134 
 27, 4294167151,     267738 
 27, 4294167151,     267738 
 28, 4294807607,      68962 
 28, 4294807607,      68962 
 29, 4294464577,     723326 
 29, 4294464577,     723326 
 30,     483111, 4294550662 
 30,     483111, 4294550662 
 31, 4294734127, 4294227198 
 31, 4294734127, 4294227198 
 32,    1660822,    2287976 
 32,    1660822,    2287976 
 33,     215128,     138634 
 33,     215128,     138634 
 34, 4294957194,     966758 
 34, 4294957194,     966758 
 35,      78601,     260657 
 35,      78601,     260657 
 36, 4294602372, 4294573182 
 36, 4294602372, 4294573182 
 37,     424034, 4294210440 
 37,     424034, 4294210440 
 38,       9136,      10864 
 38,       9136,      10864 
 39,     212833,     167217 
 39,     212833,     167217 
 40,    1479063,    2122524 
 40,    1479063,    2122524 
 41, 4294655240, 4294817872 
 41, 4294655240, 4294817872 
 42, 4294711734,      31495 
 42, 4294711734,      31495 
 43,     428387,     169635 
 43,     428387,     169635 
 44,    1082681,     977784 
 44,    1082681,     977784 
 45, 4294245368, 4294838984 
 45, 4294245368, 4294838984 
 46, 4294627274,     197861 
 46, 4294627274,     197861 
 47, 4294767453,      76501 
 47, 4294767453,      76501 
 48,    1950182,    1262785 
 48,    1950182,    1262785 
 49, 4294196172,     372670 
 49, 4294196172,     372670 
 50,     285771,     304820 
 50,     285771,     304820 
 51, 4294219221, 4294568225 
 51, 4294219221, 4294568225 
 52, 4294939184, 4294084745 
 52, 4294939184, 4294084745 
 53, 4294788846,     317800 
 53, 4294788846,     317800 
 54, 4294294667, 4294384374 
 54, 4294294667, 4294384374 
 55,     224013, 4294579341 
 55,     224013, 4294579341 
 56,    2614373,    1130574 
 56,    2614373,    1130574 
 57,     161426,     173881 
 57,     161426,     173881 
 58,     864389,      72222 
 58,     864389,      72222 
 59,      85555, 4294530736 
 59,      85555, 4294530736 
 60, 4294786991, 4294759696 
 60, 4294786991, 4294759696 
 61, 4294879190,     358061 
 61, 4294879190,     358061 
 62,     149371,      75836 
 62,     149371,      75836 
 63,     463393, 4294830722 
 63,     463393, 4294830722 
  0,    4646280,    5707424 
  0,    4646280,    5707424 
  8,    2637301,    1877263 
  8,    2637301,    1877263 
 16,    4102554, 4293162546 
 16,    4102554, 4293162546 
 24,    2029183, 4292943141 
 24,    2029183, 4292943141 
 32, 4294117632,    1528888 
 32, 4294117632,    1528888 
 40, 4294322031,    2353349 
 40, 4294322031,    2353349 
 48,     298030,    4651430 
 48,     298030,    4651430 
 56,    3119309,    6543103 
 56,    3119309,    6543103 
  1,          0,          0 
  1,          0,          0 
  9,          0,          0 
  9,          0,          0 
 17,          0,          0 
 17,          0,          0 
 25,          0,          0 
 25,          0,          0 
 33,          0,          0 
 33,          0,          0 
 41,          0,          0 
 41,          0,          0 
 49,          0,          0 
 49,          0,          0 
 57,          0,          0 
 57,          0,          0 
  2,    4646280,    5707424 
  2,    4646280,    5707424 
 10,    2637301,    1877263 
 10,    2637301,    1877263 
 18,    4102554, 4293162546 
 18,    4102554, 4293162546 
 26,    2029183, 4292943141 
 26,    2029183, 4292943141 
 34, 4294117632,    1528888 
 34, 4294117632,    1528888 
 42, 4294322031,    2353349 
 42, 4294322031,    2353349 
 50,     298030,    4651430 
 50,     298030,    4651430 
 58,    3119309,    6543103 
 58,    3119309,    6543103 
  3,          0,          0 
  3,          0,          0 
 11,          0,          0 
 11,          0,          0 
 19,          0,          0 
 19,          0,          0 
 27,          0,          0 
 27,          0,          0 
 35,          0,          0 
 35,          0,          0 
 43,          0,          0 
 43,          0,          0 
 51,          0,          0 
 51,          0,          0 
 59,          0,          0 
 59,          0,          0 
  4, 4294486080, 4293376840 
  4, 4294486080, 4293376840 
 12,    1132137, 4294181725 
 12,    1132137, 4294181725 
 20,    1696788, 4294630688 
 20,    1696788, 4294630688 
 28, 4293834667,    2416217 
 28, 4293834667,    2416217 
 36, 4294718104,    1314224 
 36, 4294718104,    1314224 
 44,     458275,     417007 
 44,     458275,     417007 
 52,     763940,    1880680 
 52,     763940,    1880680 
 60, 4293591065,    1075027 
 60, 4293591065,    1075027 
  5,          0,          0 
  5,          0,          0 
 13,          0,          0 
 13,          0,          0 
 21,          0,          0 
 21,          0,          0 
 29,          0,          0 
 29,          0,          0 
 37,          0,          0 
 37,          0,          0 
 45,          0,          0 
 45,          0,          0 
 53,          0,          0 
 53,          0,          0 
 61,          0,          0 
 61,          0,          0 
  6, 4294486080, 4293376840 
  6, 4294486080, 4293376840 
 14,    1132137, 4294181725 
 14,    1132137, 4294181725 
 22,    1696788, 4294630688 
 22,    1696788, 4294630688 
 30, 4293834667,    2416217 
 30, 4293834667,    2416217 
 38, 4294718104,    1314224 
 38, 4294718104,    1314224 
 46,     458275,     417007 
 46,     458275,     417007 
 54,     763940,    1880680 
 54,     763940,    1880680 
 62, 4293591065,    1075027 
 62, 4293591065,    1075027 
